category,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10,sensor11,sensor12,sensor13,sensor14,sensor15,sensor16,sensor17,sensor18,sensor19,sensor20,sensor21,sensor22,sensor23,sensor24,sensor25,sensor26,sensor27,sensor28,sensor29,sensor30,sensor31,sensor32,sensor33,sensor34,sensor35,sensor36,sensor37,sensor38,sensor39,sensor40,sensor41,sensor42,sensor43,sensor44,sensor45,sensor46,sensor47,sensor48,sensor49,sensor50,sensor51,sensor52,sensor53,sensor54,sensor55,sensor56,sensor57,sensor58,sensor59,sensor60,sensor61,sensor62,sensor63,sensor64,sensor65,sensor66
coffee,13341.1,13343.5,14440.5,14432.7,14436.3,9901.6,9902.4,9908.3,12447.9,12449.4,12448.3,12571.0,12570.4,12575.4,18792.5,18786.4,22404.1,22376.1,5418.0,5417.2,5418.5,3316.4,3316.4,3317.8,12365.1,12361.6,12359.6,40138.2,40121.7,40093.4,15373.4,15371.5,33770.4,33786.7,35039.3,35076.0,35051.8,53670.7,53722.9,53756.1,66456.8,66475.7,66446.0,34694.3,34740.7,34766.8,88417.1,88289.8,1702024.8,1731981.2,28781.6,28785.3,28789.9,12992.7,12995.6,12990.7,1092.6,1092.5,1092.5,2920.7,2922.9,2924.3,24664.9,24687.8,28.100000,51.189999
coffee,13338.9,13343.7,14432.4,14435.8,14440.9,9943.6,9944.8,9947.6,12446.7,12449.0,12445.0,12568.1,12571.2,12569.3,18795.1,18796.3,22405.9,22365.3,5418.4,5417.3,5417.1,3317.4,3318.1,3319.3,12364.0,12361.7,12363.2,40114.1,40113.5,40139.7,15374.7,15376.4,33773.2,33778.3,35032.5,35066.4,35063.3,53735.7,53816.0,53936.9,66475.0,66372.2,66374.4,34714.3,34763.8,34773.7,88494.0,88342.2,1762489.2,1764055.9,28757.6,28782.7,28778.7,12994.7,12993.0,12995.7,1092.6,1092.5,1092.5,2921.2,2922.8,2924.5,24662.0,24670.4,28.100000,51.029999
coffee,13344.9,13344.1,14412.6,14409.6,14407.8,9851.9,9856.5,9859.4,12443.4,12445.9,12446.8,12541.7,12537.9,12543.4,18795.1,18794.3,22397.3,22382.5,5418.2,5416.8,5416.8,3319.1,3319.6,3321.1,12349.2,12351.8,12346.4,40104.5,40106.1,40059.0,15376.5,15375.9,33786.2,33766.5,35052.6,35104.4,35110.5,53627.1,53719.5,53718.2,66375.1,66375.1,66392.2,34656.3,34700.6,34705.8,88337.6,88066.2,1720718.0,1700566.2,28801.1,28787.2,28785.1,12988.8,12990.1,12994.9,1092.6,1092.5,1092.5,2922.1,2923.6,2924.9,24669.2,24681.3,28.100000,51.119999
coffee,13346.7,13347.6,14411.1,14409.9,14418.1,9844.1,9845.0,9848.7,12449.4,12446.5,12445.1,12538.1,12542.2,12543.7,18789.9,18797.4,22405.0,22370.8,5417.8,5418.6,5419.1,3320.5,3320.5,3321.2,12360.7,12354.9,12356.0,40077.0,40069.3,40140.2,15376.3,15377.0,33791.4,33802.1,35106.1,35138.9,35097.9,53745.7,53799.4,53775.6,66529.6,66515.1,66456.0,34759.4,34802.2,34821.9,88518.4,88701.9,1721713.4,1724206.4,28776.8,28783.3,28795.9,12994.6,12999.5,12996.2,1092.6,1092.5,1092.5,2923.5,2925.2,2926.6,24679.7,24683.1,28.049999,51.619999
coffee,13351.4,13352.2,14430.3,14431.7,14434.2,9923.0,9923.3,9931.6,12451.4,12445.7,12449.1,12572.8,12572.2,12566.3,18782.7,18787.0,22412.7,22377.8,5420.4,5420.3,5420.2,3319.5,3320.2,3321.3,12390.6,12385.9,12386.1,40218.7,40272.0,40224.5,15374.9,15374.7,33805.2,33788.9,35166.0,35150.3,35206.1,53756.6,53868.9,53941.6,66676.3,66646.0,66689.4,34951.0,34997.6,35014.6,88415.8,88484.8,1696689.0,1729968.2,28824.2,28819.7,28834.2,13000.3,12997.0,12997.5,1092.6,1092.5,1092.6,2925.7,2927.2,2928.9,24662.2,24679.7,28.090000,51.770000
coffee,13355.3,13359.3,14458.0,14465.0,14454.7,10053.7,10053.9,10054.7,12454.2,12459.7,12451.8,12601.2,12598.7,12592.7,18799.2,18803.9,22408.8,22375.7,5420.1,5420.3,5419.5,3319.8,3320.1,3321.1,12393.9,12391.6,12391.3,40181.9,40199.7,40174.2,15378.4,15373.4,33787.3,33799.1,35105.9,35122.3,35138.7,53848.4,53825.0,53988.1,66772.9,66660.2,66565.4,34953.8,34991.2,35010.9,88526.3,88471.0,1692589.0,1684686.2,28831.2,28844.9,28854.5,13004.1,13003.5,13002.4,1092.6,1092.6,1092.5,2926.8,2928.2,2929.7,24669.9,24681.2,28.100000,51.080002
coffee,13361.0,13362.8,14470.6,14465.7,14459.3,10117.6,10119.3,10122.2,12450.5,12451.4,12452.7,12612.2,12610.4,12610.6,18793.9,18797.1,22410.7,22373.1,5419.4,5418.7,5419.4,3320.6,3320.4,3321.6,12399.6,12397.1,12392.9,40183.8,40221.0,40209.8,15380.8,15373.0,33790.7,33804.4,35208.0,35197.3,35212.1,53957.5,53934.9,53950.1,66724.5,66643.4,66660.9,35048.8,35083.6,35097.9,88204.0,88479.5,1758584.6,1788432.2,28848.3,28817.6,28856.7,13001.9,12998.9,13000.2,1092.6,1092.6,1092.5,2926.8,2928.6,2930.1,24676.4,24682.5,28.080000,50.150002
coffee,13357.0,13359.7,14455.3,14457.4,14446.1,10126.7,10125.1,10130.7,12448.9,12450.2,12446.8,12602.4,12599.6,12600.3,18806.0,18798.0,22412.1,22385.4,5421.7,5420.3,5421.0,3320.3,3320.1,3321.6,12419.1,12417.1,12414.0,40229.8,40257.2,40269.5,15386.3,15378.3,33749.8,33787.5,35245.3,35245.5,35228.1,53883.4,53969.7,54071.6,66753.8,66641.1,66724.5,35123.3,35162.7,35178.8,88400.0,88329.7,1690186.2,1739826.6,28848.5,28859.5,28857.2,13003.7,13003.5,13002.0,1092.6,1092.6,1092.5,2927.6,2929.2,2930.6,24675.9,24680.8,28.090000,49.480000
coffee,13354.8,13359.1,14439.5,14443.1,14443.3,10138.6,10140.3,10140.7,12448.4,12446.5,12448.7,12599.8,12598.8,12598.8,18804.2,18798.9,22408.6,22375.1,5421.9,5421.7,5422.3,3320.3,3320.6,3321.3,12428.4,12426.9,12427.0,40290.8,40301.8,40289.1,15378.8,15382.4,33806.3,33827.9,35256.2,35251.5,35253.9,53848.9,53859.4,53947.4,66857.7,66815.3,66852.1,35190.7,35243.5,35270.9,88473.6,88465.7,1716006.2,1698625.4,28871.8,28869.4,28871.6,13003.0,13002.1,13002.1,1092.6,1092.6,1092.5,2928.0,2929.3,2931.0,24676.0,24682.8,28.080000,49.130001
coffee,13356.0,13352.9,14409.1,14409.7,14420.2,10126.2,10125.3,10125.8,12446.1,12445.3,12443.5,12597.3,12595.5,12594.0,18796.9,18794.8,22412.0,22389.8,5422.4,5421.4,5422.2,3320.6,3320.2,3321.5,12441.0,12438.2,12441.4,40314.1,40313.3,40340.1,15383.8,15385.5,33783.8,33804.1,35193.3,35182.2,35176.8,53845.5,53851.4,53825.0,66808.5,66780.8,66831.4,35244.5,35288.1,35310.9,88610.1,88580.4,1714030.1,1744925.8,28885.9,28867.2,28894.0,13006.9,13007.3,13004.8,1092.6,1092.5,1092.6,2928.2,2930.0,2931.6,24678.7,24698.0,28.090000,48.889999
